City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
251,Fortuna,US,40.5982,-124.1573,66.18,94,100,3.44,overcast clouds
252,Pundaguitan,PH,6.3711,126.1689,80.35,78,87,18.37,overcast clouds
253,Maceio,BR,-9.6658,-35.7353,76.44,83,0,3.44,clear sky
254,Dengzhou,CN,37.8086,120.7508,31.28,56,98,3.87,overcast clouds
255,Pavlogradka,RU,54.2024,73.5592,6.66,84,20,9.17,few clouds
256,Monte Carmelo,BR,-18.7247,-47.4986,66.36,99,100,4.52,overcast clouds
257,Namtsy,RU,62.7161,129.6658,-34.49,100,96,2.75,overcast clouds
258,Crowley,US,30.2141,-92.3746,51.06,60,0,3.15,clear sky
259,Tautira,PF,-17.7333,-149.15,86.02,75,72,19.98,light rain
260,Antofagasta,CL,-23.65,-70.4,66.61,79,5,3.09,clear sky
261,Portobelo,PA,9.55,-79.65,81.01,78,10,9.42,clear sky
262,Portland,US,45.5234,-122.6762,61.77,66,20,1.99,few clouds
263,Dunedin,NZ,-45.8742,170.5036,63.81,60,56,5.01,broken clouds
264,Sobolevo,RU,54.4299,31.8996,30.24,97,100,14.47,snow
265,Pangai,TO,-19.8,-174.35,77.11,83,100,10.36,light intensity shower rain
266,Nouadhibou,MR,20.931,-17.0347,64.38,94,30,11.5,scattered clouds
267,San Patricio,US,28.017,-97.5169,63.01,73,67,9.28,broken clouds
268,Lebu,CL,-37.6167,-73.65,60.48,88,0,13.73,clear sky
269,Cherskiy,RU,68.75,161.3,-29.81,100,23,0.76,few clouds
270,Adrar,MR,20.5022,-10.0711,66.4,10,0,9.4,clear sky
271,Paysandu,UY,-32.3214,-58.0756,66.6,52,1,7.96,clear sky
272,Lompoc,US,34.6391,-120.4579,76.08,60,0,9.22,clear sky
273,Omboue,GA,-1.5746,9.2618,77.49,88,20,6.33,few clouds
274,Santa Maria,BR,-29.6842,-53.8069,67.3,68,0,2.3,clear sky
275,Mendi,PG,-6.1761,143.6513,68.31,56,97,3.18,overcast clouds
