City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
202,Huilong,CN,2022-02-03 01:08:06,31.8111,121.655,43.93,62,100,10.98
203,Kapiri Mposhi,ZM,2022-02-03 01:08:07,-13.9652,28.6809,62.56,98,100,4.25
204,Dicabisagan,PH,2022-02-03 01:08:07,17.0818,122.4157,76.46,76,78,3.56
205,Shyryayeve,UA,2022-02-03 01:08:07,47.3805,30.1964,29.95,89,100,3.89
206,Sao Raimundo Das Mangabeiras,BR,2022-02-03 01:08:08,-7.0219,-45.4811,76.3,72,12,3.27
207,Shimoda,JP,2022-02-03 01:08:08,34.6667,138.95,46.11,52,79,23.49
208,George,ZA,2022-02-03 01:08:09,-33.963,22.4617,67.55,94,100,5.75
209,Pisco,PE,2022-02-03 01:08:09,-13.7,-76.2167,68.05,77,0,16.11
210,Avarua,CK,2022-02-03 01:08:09,-21.2078,-159.775,84.25,79,75,18.41
211,Okha,RU,2022-02-03 01:08:10,53.5739,142.9478,3.83,93,100,26.78
212,Latur,IN,2022-02-03 01:08:10,18.4,76.5833,66.18,35,23,5.86
213,Cody,US,2022-02-03 01:08:11,44.5263,-109.0565,4.64,62,0,3.44
214,Maldonado,UY,2022-02-03 01:08:04,-34.6667,-54.9167,74.59,86,6,8.61
215,Ugoofaaru,MV,2022-02-03 01:08:11,5.6667,73.0,80.37,73,28,6.22
216,Penzance,GB,2022-02-03 01:08:12,50.1186,-5.5371,46.76,84,100,14.14
217,Kashi,CN,2022-02-03 01:08:12,39.4547,75.9797,26.13,41,100,1.77
218,Georgetown,MY,2022-02-03 01:04:43,5.4112,100.3354,80.89,80,20,1.01
219,Santa Marta,CO,2022-02-03 01:05:29,11.2408,-74.199,78.35,86,8,15.41
220,Presidencia Roque Saenz Pena,AR,2022-02-03 01:08:13,-26.7852,-60.4388,89.6,25,85,6.15
221,Tocopilla,CL,2022-02-03 01:08:13,-22.092,-70.1979,70.41,71,2,11.74
222,Sorland,NO,2022-02-03 01:08:14,67.667,12.6934,27.81,58,100,11.34
223,Flin Flon,CA,2022-02-03 01:08:14,54.7682,-101.865,-17.39,95,10,5.03
224,Sisimiut,GL,2022-02-03 01:08:15,66.9395,-53.6735,1.36,75,100,20.02
225,Pundaguitan,PH,2022-02-03 01:08:15,6.3711,126.1689,78.94,75,100,13.87
226,Sobolevo,RU,2022-02-03 01:08:15,54.4299,31.8996,24.19,97,100,5.86
227,La Ronge,CA,2022-02-03 01:08:16,55.1001,-105.2842,-21.87,98,9,3.78
