City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
432,Ahipara,NZ,76.24,broken clouds,-35.1667,173.1667,Ahipara Holiday Park
437,Miandrivazo,MG,75.45,broken clouds,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
438,Balikpapan,ID,77.99,few clouds,-1.2675,116.8289,Swiss-Belhotel Balikpapan
439,El Vigia,VE,76.23,scattered clouds,8.6219,-71.6506,Liceo Bolivariano 19 De Abril
441,Bonthe,SL,77.36,scattered clouds,7.5264,-12.505,Bonthe Holiday Village
444,Maua,BR,75.36,overcast clouds,-23.6678,-46.4614,Hotel Capriccio Mauá
448,Monrovia,LR,79.75,broken clouds,6.3005,-10.7969,Sunset Inn
450,Gamba,GA,76.32,few clouds,-2.65,10.0,
454,Inirida,CO,78.19,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
456,Boa Vista,BR,84.18,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
462,Garissa,KE,77.81,overcast clouds,-0.4536,39.6401,Sharif Plaza Hotel
486,Kloulklubed,PW,82.9,broken clouds,7.0419,134.2556,Storyboard Beach Resort
489,Porto Belo,BR,78.75,broken clouds,-27.1578,-48.5531,Costa Verde Beach Hotel
495,Sao Joao Da Barra,BR,77.0,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
499,Farafangana,MG,78.28,overcast clouds,-22.8167,47.8333,Miarina
502,Neuquen,AR,78.69,clear sky,-38.9516,-68.0591,Hotel del Comahue
504,Soe,ID,78.19,few clouds,-9.8607,124.284,Dena Hotel
506,Cape Coast,GH,79.45,overcast clouds,5.1053,-1.2466,Samrit Hotel
521,Corozal,CO,76.37,clear sky,9.3151,-75.2928,Hotel Perla De La Sabana
526,Lumphat,KH,76.19,overcast clouds,13.4878,106.9816,Lumphat Homestay
528,Nisia Floresta,BR,81.41,clear sky,-6.0911,-35.2086,Rancho Crepusculo
533,Riohacha,CO,78.91,clear sky,11.5444,-72.9072,Hotel Taroa
534,Kirakira,SB,85.23,overcast clouds,-10.4544,161.9205,SanBiz Lodge
536,Katherine,AU,82.72,broken clouds,-14.4667,132.2667,Pine Tree Motel
539,Ambovombe,MG,75.06,light rain,-25.1667,46.0833,RELAHARA
540,Bintulu,MY,77.41,few clouds,3.1667,113.0333,900 Boutique INN
545,Mount Gambier,AU,82.31,clear sky,-37.8333,140.7667,The Commodore
548,Kawalu,ID,77.0,overcast clouds,-7.3817,108.2082,West Jontor
549,Grand-Lahou,CI,78.73,scattered clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
